지역,매장명,매장현황,주소,서비스,전화번호,전처리_주소,위도,경도
서울 종로구,성균관대점,영업중,서울특별시 종로구 성균관로 6 (명륜2가 204) 1~4층,테라스,02-743-8526,서울특별시 종로구 성균관로 6,37.583545565,126.998406286
대전 서구,대전건양대병원점,영업중,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원) 신관 지하1층",주차,042-543-3138,대전광역시 서구 관저동로 158,36.306880922,127.344605551
대전 유성구,대전유성온천점,영업중,"대전 유성구 온천로 45  1,2층",주차,042-825-2023,대전 유성구 온천로 45  1,36.355899510,127.343128911
경기 시흥시,스틸랜드점,영업중,"경기도 시흥시 오이도로 21 (정왕동, STEELLAND) 1층",테라스 주차,070-8802-8041,경기도 시흥시 오이도로 21,37.345704476,126.701417057
경남 거제시,거제휴게소점,영업중,경상남도 거제시 장목면 거가대로 1068 .,주차,055-736-2200,경상남도 거제시 장목면 거가대로 1068,34.973597135,128.693343612
부산 강서구,가덕휴게소점,영업중,부산광역시 강서구 거가대로 2571 (천성동) .,주차,051-715-2200,부산광역시 강서구 거가대로 2571,35.023081677,128.807701774
경기 성남시 분당구,판교역점,영업중,"경기도 성남시 분당구 판교역로192번길 12 (삼평동, 판교미래에셋센터) 1층",테라스 주차,031-8061-0778,경기도 성남시 분당구 판교역로192번길 12,37.397470914,127.110713311
서울 노원구,태릉입구역점,영업중,"서울특별시 노원구 화랑로 453 (공릉동, 그린힐) 1층",주차,02-976-0078,서울특별시 노원구 화랑로 453,37.618621345,127.077566854
경기 광명시,광명하안점,영업중,"경기도 광명시 하안로 293-6 (하안동, 두원빌딩) 1층",주차,070-8837-4575,경기도 광명시 하안로 293-6,37.461831477,126.879665796
경남 창원시 마산합포구,마산저도점,영업중,경상남도 창원시 마산합포구 구산면 해양관광로 1872-50 2~3층,테라스 주차,055-243-1052,경상남도 창원시 마산합포구 구산면 해양관광로 1872-50 2~3층,35.067799281,128.562485300
경기 화성시,화성조암점,영업중,경기도 화성시 우정읍 쌍봉로 76 103호,테라스 주차,031-358-3567,경기도 화성시 우정읍 쌍봉로 76 103호,37.087046592,126.815228672
충북 청주시 서원구,청주성화점,영업중,충청북도 청주시 서원구 신성화로 39 (성화동) 1~2층,,043-233-6296,충청북도 청주시 서원구 신성화로 39,36.618509811,127.458096958
경기 구리시,모다아울렛구리점,영업중,"경기도 구리시 경춘북로 230 (갈매동, 모다아울렛) .",주차,031-514-8194,경기도 구리시 경춘북로 230,37.633347432,127.115926989
서울 서대문구,가재울점,영업중,서울특별시 서대문구 모래내로15길 56 (남가좌동) 1층,테라스,02-304-0173,서울특별시 서대문구 모래내로15길 56,37.574113041,126.919331694
서울 구로구,구로디지털점,영업중,"서울특별시 구로구 디지털로31길 12 1층 105,106호",테라스 주차,070-7576-4842,서울특별시 구로구 디지털로31길 12 1층 105,37.485337454,126.894893845
경기 안성시,(상)안성맞춤휴게소점,영업중,경기도 안성시 서운면 평택제천고속도로 41 (안성맞춤휴게소평택방향) .,주차,031-673-3822,경기도 안성시 서운면 평택제천고속도로 41,36.969905630,127.274749361
전남 나주시,나주빛가람혁신도시점,영업중,전라남도 나주시 배멧3길 5-4 (빛가람동) .,주차,061-334-5466,전라남도 나주시 배멧3길 5-4,35.018974581,126.785705080
서울 종로구,청계천점,영업중,"서울특별시 종로구  청계천로 81 1,2,3,4층",,02-735-5462,서울특별시 종로구  청계천로 81 1,37.568533499,126.986587445
충남 공주시,(논)탄천휴게소점,영업중,충청남도 공주시 탄천면 논산천안고속도로 27 (탄천하행휴게소) .,주차,.,충청남도 공주시 탄천면 논산천안고속도로 27,36.319157201,127.070040418
충남 공주시,(상)정안알밤휴게소점,영업중,충청남도 공주시 정안면 논산천안고속도로 58 (정안상행휴게소) 1층,테라스 주차,041-858-0562,충청남도 공주시 정안면 논산천안고속도로 58,36.569456520,127.115104442
인천 연수구,인천대입구역점,영업중,"인천광역시 연수구 인천타워대로132번길 34 (송도동) 104호,105호",주차,032-833-2808,인천광역시 연수구 인천타워대로132번길 34,37.386375828,126.643999009
경기 남양주시,남양주진접점,영업중,경기도 남양주시 진접읍 해밀예당1로 8-12 가동 1~2층,테라스 주차,031-523-3237,경기도 남양주시 진접읍 해밀예당1로 8-12 가동 1~2층,37.709625382,127.185254040
서울 송파구,방이역점,영업중,"서울특별시 송파구 양재대로72길 5 (오금동, 올림픽파크센트레빌) 1층",주차,02-403-0338,서울특별시 송파구 양재대로72길 5,37.509957398,127.127546868
서울 강남구,청담삼성로점,영업중,"서울특별시 강남구 삼성로119길 8 (삼성동, 강남대학교청담카이로스빌딩) 1층",,02-541-7755,서울특별시 강남구 삼성로119길 8,37.516255944,127.050613873
경기 김포시,김포운양점,영업중,"경기도 김포시 김포한강11로255번길 15 (운양동, 김포한강이랜드타운힐스) .",주차,031-986-2260,경기도 김포시 김포한강11로255번길 15,37.654787754,126.676821433
울산 남구,울산교보핫트랙스점,영업중,울산광역시 남구 화합로 185 (삼산동) 업스퀘어 B1 교보문고내,주차,052-990-5550,울산광역시 남구 화합로 185,35.541346327,129.338899637
강원 속초시,속초센텀마크점,영업중,강원도 속초시 중앙로121번길 28 (금호동) 1층,주차,033-638-8700,강원도 속초시 중앙로121번길 28,38.203200239,128.588820414
세종 세종시,세종가람DT점,영업중,세종특별자치시 금송로 589 (가람동) .,주차,044-865-8882,세종특별자치시 금송로 589,36.464713123,127.244339669
서울 중구,덕수궁점,영업중,서울특별시 중구  세종대로 91 (태평로2가) 1~2층 할리스,,02-6365-0143,서울특별시 중구  세종대로 91,37.564573011,126.976549203
경기 김포시,김포디원시티점,영업중,경기도 김포시 김포한강10로133번길 127 (구래동) 할리스커피,주차,031-8035-1750,경기도 김포시 김포한강10로133번길 127,37.644131440,126.618142753
대구 동구,대구봉무공원점,영업중,대구광역시 동구 단산길 4 (봉무동) 1~2층,주차,053-984-3001,대구광역시 동구 단산길 4,35.921670967,128.645669693
서울 영등포구,보라매역점,영업중,"서울특별시 영등포구 여의대방로 145 (신길동, 세인트빌딩) .",,02-845-1097,서울특별시 영등포구 여의대방로 145,37.500265296,126.920040617
충북 청주시 서원구,청주산남DT점,영업중,"충청북도 청주시 서원구 1순환로 892,1,2층(산남동)",DT 매장 주차,043-287-5731,충청북도 청주시 서원구 1순환로 892,36.606734359,127.483602504
충북 청주시 흥덕구,청주강서점,영업중,"충청북도 청주시 흥덕구 서현동로 8 (가경동, 하나빌딩) .",주차,043-263-8585,충청북도 청주시 흥덕구 서현동로 8,36.623040805,127.430476239
강원 원주시,(춘)원주휴게소점 ,영업중,강원도 원주시 호저면 마근거리길 110 (원주(춘천방향)휴게소) 옥산리 215,주차,033-731-4291,강원도 원주시 호저면 마근거리길 110,37.435686167,127.931417959
울산 울주군,(함)울주휴게소점,영업중,울산광역시 울주군 삼동면 보은리 산193-1 외 .,주차,052-933-5243,울산광역시 울주군 삼동면 보은리 산193-1 외,0,0
경기 평택시,평택이충DT점,영업중,경기도 평택시 추담로 30 A동 1~2층 (이충동),DT 매장 주차,031-667-7034,경기도 평택시 추담로 30 A동 1~2층,37.055503011,127.074190837
경기 평택시,평택지산점,영업중,"경기도 평택시 지산로 10, 1층 지산동 808-4, 101,102호",주차,031-8029-9005,경기도 평택시 지산로 10,37.078838632,127.055927495
서울 강북구,미아역점,영업중,"서울특별시 강북구 도봉로 203, 1-2층 미아동 209-2",테라스,070-7799-7374,서울특별시 강북구 도봉로 203,37.626774814,127.025718266
경북 성주군,성주성밖숲점,영업중,경상북도 성주군 성주읍 성밖숲길 7 .,주차,054-933-2222,경상북도 성주군 성주읍 성밖숲길 7,35.917419985,128.279486487
강원 속초시,속초영랑해변점,영업중,강원도 속초시 영랑해안길 205 (영랑동 148-172) 할리스,테라스 주차,033-637-0164,강원도 속초시 영랑해안길 205,38.218254705,128.593805226
경기 하남시,미사가로수길점,영업중,"경기도 하남시 미사강변한강로 295, 1층 112호 ~ 115호",주차,031-699-8674,경기도 하남시 미사강변한강로 295,37.564285028,127.198396752
서울 강서구,개화산점,영업중,"서울특별시 강서구 양천로 28 (방화동, 벽산에어트리움) 1층",테라스 주차,02-2064-1455,서울특별시 강서구 양천로 28,37.572519045,126.806805303
울산 남구,울산달동DT점,영업중,울산광역시 남구 번영로 82 (달동 1297-1) 할리스,DT 매장 테라스 주차,052-275-3022,울산광역시 남구 번영로 82,35.532989378,129.330316394
경기 하남시,미사효성해링턴점,영업중,"경기도 하남시 아리수로 570,1~2층 망월동 미사효성해링턴타워더퍼스트",주차,070-7733-9710,경기도 하남시 아리수로 570,37.566849990,127.190403915
인천 연수구,송도학원가점,영업중,인천광역시 연수구 신송로 168 송도동 20-13,주차,032-204-7700,인천광역시 연수구 신송로 168 송도동 20-13,37.398668258,126.648667160
인천 서구,인천당하점,영업중,"인천광역시 서구 서곶로 788 (당하동, 홀리랜드) 1층",주차,032-561-1578,인천광역시 서구 서곶로 788,37.588120968,126.675351744
경기 시흥시,시흥은계점,영업중,"경기도 시흥시 은계번영길 13 (은행동, 아리테타워) 107,108,203~205호",주차,031-520-8147,경기도 시흥시 은계번영길 13,37.437350528,126.802582679
서울 관악구,신림역점,영업중,서울특별시 관악구 신림로 313 (신림동) 2층,흡연시설,02-877-5596,서울특별시 관악구 신림로 313,37.482275803,126.929709879
대구 수성구,대구수성네거리점,영업중,"대구광역시 수성구 들안로 326 1,2층 수성동3가 254-2",,053-743-8700,대구광역시 수성구 들안로 326 1,35.859125133,128.617834154
인천 서구,인천서구청점,영업중,"인천광역시 서구 서곶로301번길 7-1 (심곡동, 세광빌딩) .",주차,032-569-1235,인천광역시 서구 서곶로301번길 7-1,37.544384803,126.675750215
부산 수영구,부산광안리점,영업중,"부산광역시 수영구 광안해변로 175 (광안동, 광안에이파크오션) 1~2층",주차,051-757-9433,부산광역시 수영구 광안해변로 175,35.150293329,129.115615357
부산 사상구,부산사상광장점,영업중,부산광역시 사상구 광장로 22 (괘법동) 2층 사상구 괘법동 565-2,주차,051-322-4117,부산광역시 사상구 광장로 22,35.162393565,128.978936555
경기 이천시,이천갈산점,영업중,경기도 이천시 향교로 161 (갈산동) 1층 .,주차,031-636-1791,경기도 이천시 향교로 161,37.284913800,127.455007114
경북 경산시,(서)경산휴게소점,영업중,경상북도 경산시 진량읍 대학로 1089 .,주차,053-853-5243,경상북도 경산시 진량읍 대학로 1089,35.879526009,128.809966612
충북 청주시 상당구,청주동남점,영업중,"충청북도 청주시 상당구 중고개로141번길 13-16 (용암동) 101,102,103호 .",,043-293-3030,충청북도 청주시 상당구 중고개로141번길 13-16,36.615739827,127.516385790
서울 동작구,대방역점,영업중,"서울특별시 동작구 알마타길 6 (대방동, 파밀리에 하늘마루) 101호, 102호 .",테라스 주차,02-825-6369,서울특별시 동작구 알마타길 6,37.510069681,126.924643329
경기 부천시 원미구,부천옥길점,영업중,"경기도 부천시 양지로 205, 1~2층 옥길동 793-2, 부천옥길 서영아너시티2",주차,070-4129-4130,경기도 부천시 양지로 205,37.467798001,126.824175586
경기 남양주시,다산진건점,영업중,경기도 남양주시 다산중앙로20번길 10-44 (다산동) 1층  .,주차,070-7808-1221,경기도 남양주시 다산중앙로20번길 10-44,37.614444588,127.157078470
인천 부평구,2001아울렛부평점,영업중,"인천광역시 부평구 경원대로 1277 (산곡동, 2001아울렛부평점) A동 1층",테라스 주차,032-525-1002,인천광역시 부평구 경원대로 1277,37.490949065,126.710241199
울산 남구,울산삼산점,영업중,울산광역시 남구 삼산중로 50 (삼산동) 2층,테라스 24시간,052-260-1121,울산광역시 남구 삼산중로 50,35.538001892,129.335920631
서울 강남구,강남대로논현점,영업중,"서울특별시 강남구 강남대로 520 (논현동, 영동빌딩) .",,02-6012-2372,서울특별시 강남구 강남대로 520,37.508633425,127.022954240
대전 유성구,대전호텔ICC점,영업중,대전광역시 유성구 엑스포로123번길 55 (도룡동) 1층,주차,042-866-5104,대전광역시 유성구 엑스포로123번길 55,36.377062536,127.392780908
서울 마포구,홍대거리점,영업중,"서울특별시 마포구 어울마당로 76-1, 2~4층 (서교동 364-19) 할리스",테라스 주차,02-323-3795,서울특별시 마포구 어울마당로 76-1,37.551847875,126.921654568
경기 평택시,(하)평택휴게소1호점,영업중,경기도 평택시 청북읍 평택제천고속도로 6 (평택복합휴게시설) .,24시간 주차,031-683-4800,경기도 평택시 청북읍 평택제천고속도로 6,37.044736586,126.944498100
광주 북구,광주북구청점,영업중,광주광역시 북구 서방로 2 (중흥동) .,주차,062-511-8002,광주광역시 북구 서방로 2,35.173448220,126.913254475
부산 해운대구,부산센텀시티점,영업중,"부산광역시 해운대구 센텀2로 24 (우동, 센텀다이아몬드) 1층",,051-755-9100,부산광역시 해운대구 센텀2로 24,35.166668580,129.132450727
경기 하남시,하남미사역점,영업중,"경기도 하남시 미사강변동로 85 (망월동, 힐스테이트에코미사) 1~2 층 ",주차,031-8027-6979,경기도 하남시 미사강변동로 85,37.562532683,127.191881155
경남 창원시 성산구,창원귀산점,영업중,경상남도 창원시 성산구 삼귀로 189 (귀곡동) .,테라스 주차,055-266-1353,경상남도 창원시 성산구 삼귀로 189,35.169674473,128.599569974
대구 달성군,대구세천점,영업중,대구광역시 달성군 다사읍 세천로 141 세천리 1581-6,흡연시설 주차,053-581-5768,대구광역시 달성군 다사읍 세천로 141 세천리 1581-6,0,0
경기 의정부시,의정부로데오점,영업중,경기도 의정부시 행복로 28 (의정부동) 지상 1층~ 4층,흡연시설,031-848-1674,경기도 의정부시 행복로 28,37.740987653,127.049633459
강원 속초시,속초엑스포점,영업중,강원도 속초시 청초호반로 75 (조양동) 1~3층,테라스 주차,033-638-2123,강원도 속초시 청초호반로 75,38.189891237,128.586355415
경기 수원시 영통구,광교호수점,영업중,"경기도 수원시 영통구 광교중앙로 180 (하동, 광교효성해링턴타워레이크) 광교효성해링턴타워레이크 B017호~B111호	",주차,031-217-8797,경기도 수원시 영통구 광교중앙로 180,37.288731378,127.061194584
경기 안양시 동안구,범계로데오점,영업중,"경기도 안양시 동안구 평촌대로223번길 11 (호계동, 성우프라자) 202호, 203호",주차,031-8033-7562,경기도 안양시 동안구 평촌대로223번길 11,37.391007475,126.954993127
경기 안산시 단원구,안산중앙역점,영업중,"경기도 안산시 단원구 광덕4로 234 (고잔동, 천혜로데오프라자) 107,108호",테라스 주차,031-484-2002,경기도 안산시 단원구 광덕4로 234,37.314418451,126.838690520
경기 오산시,오산시청점,영업중,"경기도 오산시 성호대로 124 (원동, 신협빌딩) 101,102호",흡연시설,031-378-8778,경기도 오산시 성호대로 124,37.148427284,127.075210337
서울 서초구,양재역1호점,영업중,"서울특별시 서초구 강남대로 210 (양재동, 행복빌딩) 1층,2층",주차,02-578-6630,서울특별시 서초구 강남대로 210,37.483032610,127.036153671
충북 청주시 흥덕구,청주봉명점,영업중,충청북도 청주시 흥덕구 덕암로114번길 49 (봉명동) .,주차,043-260-6669,충청북도 청주시 흥덕구 덕암로114번길 49,36.649767101,127.460032757
충남 공주시,(하)정안알밤휴게소점,영업중,충청남도 공주시 정안면 논산천안고속도로 57 (정안하행휴게소) 할리스커피,주차,.,충청남도 공주시 정안면 논산천안고속도로 57,36.570801166,127.112005321
충북 청주시 흥덕구,청주NC백화점CGV점,영업중,충북 청주시 흥덕구 2순환로 1233  청주NC백화점 8층,주차,070-4153-5598,충북 청주시 흥덕구 2순환로 1233  청주NC백화점 8층,36.635576185,127.420163173
서울 노원구,수락산역점,영업중,"서울특별시 노원구 동일로239가길 22 (상계동, 한올빌딩) 2층",테라스,02-951-3266,서울특별시 노원구 동일로239가길 22,37.676177615,127.054842142
서울 중랑구,망우점,영업중,서울특별시 중랑구 망우로 470 (망우동) 1층,테라스 주차,070-7707-0042,서울특별시 중랑구 망우로 470,37.600093612,127.104330873
서울 구로구,구로거리공원점,영업중,서울특별시 구로구 구로중앙로28길 52  구로동 109-1,주차,02-838-7008,서울특별시 구로구 구로중앙로28길 52  구로동 109-1,37.499731432,126.888527485
강원 양양군,낙산해수욕장점,영업중,강원도 양양군 강현면 해맞이길 18 .,주차,033-673-0053,강원도 양양군 강현면 해맞이길 18,38.119790074,128.631191507
경기 안산시 상록구,안산한대앞점,영업중,"경기도 안산시 상록구 중보로 31 (이동, 썬프라자) .",테라스 흡연시설 주차,031-419-2131,경기도 안산시 상록구 중보로 31,37.306530654,126.850472072
전북 익산시,익산부송점,영업중,"전라북도 익산시 하나로10길 70-1 (부송동, 레스트빌딩) 1층",주차,063-832-1717,전라북도 익산시 하나로10길 70-1,35.961406371,126.989041139
경기 양주시,양주삼숭DI점,영업중,"경기도 양주시 부흥로 2239 1,2층 .",주차,031-848-5375,경기도 양주시 부흥로 2239 1,37.809844707,127.102304086
서울 서초구,교대역점,영업중,"서울특별시 서초구 반포대로30길 81 (서초동, 웅진타워) 1층 .",주차,02-521-8944,서울특별시 서초구 반포대로30길 81,37.492869270,127.012977561
서울 구로구,오류동역점,영업중,"서울시 구로구 경인로 224 오류동59-20번지 외2필지, 1층",주차,02-6405-3800,서울시 구로구 경인로 224 오류동59-20번지 외2필지,37.496466294,126.845769089
경기 파주시,파주운정역점,영업중,경기도 파주시 경의로1240번길 37-1  101~3호 201~2호,주차,031-957-6200,경기도 파주시 경의로1240번길 37-1  101~3호 201~2호,37.728729576,126.763664613
경기 화성시,제부도점,영업중,"경기도 화성시 서신면 해안길 434 1,2층",테라스 주차,031-357-6399,경기도 화성시 서신면 해안길 434 1,37.176239148,126.623354829
경기 남양주시,다산센트럴점,영업중,"경기도 남양주시 다산중앙로 105-14 (다산동) 웅신미켈란오피스텔 104,105,106호",주차,070-8670-1240,경기도 남양주시 다산중앙로 105-14,37.622556895,127.152415734
강원 인제군,인제점,영업중,강원도 인제군 인제읍 인제로 198 .,,033-461-7767,강원도 인제군 인제읍 인제로 198,38.068987297,128.172440962
대전 동구,가오CGV점,영업중,"대전광역시 동구 은어송로 72 4층(가오동, 패션아일랜드) .",주차,042-273-7400,대전광역시 동구 은어송로 72 4층,36.307021201,127.457950170
충북 청주시 서원구,청주분평점,영업중,"충청북도 청주시 서원구 월평로 4 분평동 1226, 대상탑존빌딩 111호",주차,043-292-5105,충청북도 청주시 서원구 월평로 4 분평동 1226,36.610986726,127.485304673
충남 당진시,당진시청점,영업중,충청남도 당진시 시청2로 49-25 (수청동) 로고스타워 1~2층,흡연시설 주차,070-8808-1040,충청남도 당진시 시청2로 49-25,36.887718222,126.646672246
전북 익산시,익산영등점,영업중,전라북도 익산시 고봉로32길 46-1 (영등동) 1~2층,,063-918-2211,전라북도 익산시 고봉로32길 46-1,35.959592217,126.976239773
경기 수원시 권선구,수원SKV1모터스점,영업중,경기도 수원시 권선구 평동로79번길 45 (평동) 1층 135호,주차,031-293-8810,경기도 수원시 권선구 평동로79번길 45,37.259660727,126.992671395
서울 구로구,구로디지털단지역점,영업중,"서울특별시 구로구 디지털로32나길 38 (구로동, 서림빌딩) 1층",테라스 주차,02-851-3365,서울특별시 구로구 디지털로32나길 38,37.484618550,126.901217212
서울 마포구,공덕경의선숲길점,영업중,"서울특별시 마포구 백범로28길 22, 일양빌딩 신관 1층 (염리동 164-1)",주차,02-701-3967,서울특별시 마포구 백범로28길 22,37.544603689,126.946646125
충북 옥천군,(하)옥천휴게소점,영업중,충북 옥천군 옥천읍 매화리 248-1 .,주차,043-731-8521,충북 옥천군 옥천읍 매화리 248-1,0,0
울산 남구,울산신정점,영업중,"울산광역시 남구 동산로 93  신정동 1265-16, 1층",,052-260-0900,울산광역시 남구 동산로 93  신정동 1265-16,35.536565440,129.305702010
경기 안양시 동안구,평촌점,영업중,"경기도 안양시 동안구 관평로170번길 43, 훼미리타운 125호 .",테라스 흡연시설 주차,031-385-3400,경기도 안양시 동안구 관평로170번길 43,37.393318503,126.963171094
경남 창원시 진해구,진해속천점,영업중,경상남도 창원시 진해구 태평로 132 (속천동) 2~3층 할리스커피,테라스 주차,055-547-9777,경상남도 창원시 진해구 태평로 132,35.141685759,128.670736561
충북 청주시 청원구,청주율량현대점,영업중,충청북도 청주시 청원구 율봉로 150 .,주차,043-241-0005,충청북도 청주시 청원구 율봉로 150,36.668122262,127.485799825
대구 달서구,대구상인점,영업중,대구광역시 달서구 상화북로 194 (상인동) 2층,주차,053-641-9522,대구광역시 달서구 상화북로 194,35.813252409,128.546804906
경기 하남시,하남미사강변점,영업중,"경기도 하남시 미사강변대로226번안길 17 (망월동, 뉴욕프라자) 1층 1층",주차,031-796-1486,경기도 하남시 미사강변대로226번안길 17,37.569239409,127.185330766
경북 칠곡군,칠곡왜관점,영업중,"경북 칠곡군 석적읍 석적로 180 외1필지, 1,2층",테라스,054-977-8255,경북 칠곡군 석적읍 석적로 180 외1필지,36.015277285,128.402081176
서울 마포구,홍대역2번출구점,영업중,서울특별시 마포구 동교로 200 1~3층 .,24시간 주차,02-332-8079,서울특별시 마포구 동교로 200 1~3층,37.557752880,126.923126575
서울 송파구,가락시장역점,영업중,"서울특별시 송파구 중대로 130 가락동112-2, 원전빌딩 1층	",,02-3401-5337,서울특별시 송파구 중대로 130 가락동112-2,37.494244991,127.122604641
경기 화성시,화성능동DT점,영업중,"경기 화성시 동탄지성로 215 1,2층 전체호(병점동)",DT 매장 주차,031-221-7286,경기 화성시 동탄지성로 215 1,37.213103950,127.052723876
인천 남동구,인천시청점,영업중,인천광역시 남동구 남동대로799번길 36 (구월동) .,테라스,032-433-0704,인천광역시 남동구 남동대로799번길 36,37.454388515,126.705803167
경남 밀양시,밀양킹콩점,영업중,"경상남도 밀양시 삼문강변로 272 (삼문동) 2,3층",테라스 주차,055-351-0056,경상남도 밀양시 삼문강변로 272,35.486831798,128.747088649
대구 북구,경북대북문점,영업중,대구광역시 북구 대학로 17길 3 (산격동 1393-11) 할리스 B1~3층,,053-951-9990,대구광역시 북구 대학로 17길 3,35.892427132,128.608665314
서울 강남구,코엑스점,영업중,"서울특별시 강남구 영동대로 513, 코엑스 지하 1층  C113호 (삼성동 159)  할리스  ",테라스 주차,02-6002-3100,서울특별시 강남구 영동대로 513,37.512018310,127.059037019
경기 이천시,이천마장점,영업중,경기도 이천시 마장면 오천로 65 오천리 56-55,주차,070-4647-0081,경기도 이천시 마장면 오천로 65 오천리 56-55,0,0
울산 중구,울산성남점,영업중,"울산광역시 중구 만남의거리 33, 1F 성남동 256-16",,052-211-4741,울산광역시 중구 만남의거리 33,35.553383556,129.320864624
경기 양평군,양평점,영업중,경기도 양평군 양평읍 중앙로 90 1층,주차,031-775-1157,경기도 양평군 양평읍 중앙로 90 1층,37.494212343,127.498604729
경기 김포시,김포시청점,영업중,경기도 김포시 김포대로 847 1~2층,테라스 주차,031-996-1388,경기도 김포시 김포대로 847 1~2층,37.619704831,126.719673300
경기 안산시 단원구,안산선부점,영업중,경기도 안산시 단원구 선부광장1로 56 (선부동) 할리스커피,테라스 흡연시설 주차,031-411-9733	,경기도 안산시 단원구 선부광장1로 56,37.336596404,126.810722631
충남 공주시,(천)이인휴게소점,영업중,충청남도 공주시 이인면 논산천안고속도로 32 (이인상행휴게소) .,주차,041-856-8351,충청남도 공주시 이인면 논산천안고속도로 32,36.352666420,127.069715377
경기 고양시 덕양구,화정역점,영업중,"경기도 고양시 덕양구 화신로272번길 67  화정동 970-3, 장군빌딩",주차,070-7514-8707,경기도 고양시 덕양구 화신로272번길 67  화정동 970-3,37.633826394,126.831565084
전북 군산시,군산새만금산단점,영업중,전라북도 군산시 새만금북로 424 (오식도동) 1층 104호,주차,063-468-4100,전라북도 군산시 새만금북로 424,35.946855644,126.582707016
경기 남양주시,다산한강점,영업중,경기도 남양주시 다산지금로 163번길 9-12 .,주차,031-592-3118,경기도 남양주시 다산지금로 163번길 9-12,37.596076002,127.174841847
서울 마포구,상암DDMC점,영업중,"서울시 마포구 매봉산로 75, DDMC 1층 104호 상암동 1610 (일요일 휴점)",,070-4445-2428,서울시 마포구 매봉산로 75,37.578178003,126.892863253
경기 고양시 덕양구,덕양구청점,영업중,"경기도 고양시 덕양구 화중로104번길 8 (화정동, 장원프라자) 1층 102호",테라스 주차,070-4647-0030,경기도 고양시 덕양구 화중로104번길 8,37.636099807,126.831740441
충남 서천군,(하)서천휴게소점,영업중,충청남도 서천군 비인면 서해안고속도로 169 .,주차,041-952-5757,충청남도 서천군 비인면 서해안고속도로 169,36.129537506,126.626455046
전북 전주시 덕진구,전주에코시티세병호점,영업중,전라북도 전주시 덕진구 세병로 176 (송천동2가) 1층~2층,,063-255-3000,전라북도 전주시 덕진구 세병로 176,35.878867389,127.133143002
경기 남양주시,다산리코빌파크뷰점,영업중,경기도 남양주시 다산순환로 220 (다산동) 104 ~107호,주차,031-523-3948,경기도 남양주시 다산순환로 220,37.629319007,127.147812337
서울 서대문구,서대문농협생명빌딩점,영업중,"서울시 서대문구 통일로 87  미근동 257, NH농협생명빌딩 (주말 휴점)",주차,02-364-7787,서울시 서대문구 통일로 87  미근동 257,37.562772575,126.968515900
충북 청주시 청원구,(하)오창휴게소점,영업중,충청북도 청주시 청원구 오창읍 중부고속도로 21 (오창휴게소통영기점) .,주차,043-217-1477,충청북도 청주시 청원구 오창읍 중부고속도로 21,36.758503334,127.481773974
충북 청주시 흥덕구,(하)옥산휴게소점,영업중,충청북도 청주시 흥덕구 옥산면 경부고속도로 309 (옥산휴게소부산방향) 옥산휴게소(하행) 할리스커피,주차,043-260-1053,충청북도 청주시 흥덕구 옥산면 경부고속도로 309,36.657624720,127.369839577
